method_name,seed,problem_id,budget_fraction,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,canonical_duplicate_count,unique_motif_signatures,occupied_internal_cells,occupied_common_audit_cells,pareto_size,best_fitness
sr_random_relu_pca_qd,1002,RTLLM/Prob004_adder_8bit,0.75,90,46,0.5111111111111111,27,19,14,15,4,11,0.38154412826809186
sr_random_relu_pca_qd,1002,RTLLM/Prob004_adder_8bit,1.0,120,65,0.5416666666666666,37,28,17,16,4,14,0.38154412826809186
sr_random_relu_pca_qd,1002,RTLLM/Prob015_multi_pipe_8bit,0.25,30,9,0.3,8,1,6,9,1,4,0.023107098236111234
sr_random_relu_pca_qd,1002,RTLLM/Prob015_multi_pipe_8bit,0.5,60,18,0.3,17,1,14,18,2,7,0.06105036615113211
sr_random_relu_pca_qd,1002,RTLLM/Prob015_multi_pipe_8bit,0.75,90,26,0.28888888888888886,23,3,18,21,2,10,0.06105036615113211
sr_random_relu_pca_qd,1002,RTLLM/Prob015_multi_pipe_8bit,1.0,120,36,0.3,33,3,27,26,2,12,0.06105036615113211
sr_random_relu_pca_qd,1002,RTLLM/Prob024_fsm,0.25,30,5,0.16666666666666666,3,2,3,5,2,2,0.4281347096236054
sr_random_relu_pca_qd,1002,RTLLM/Prob024_fsm,0.5,60,16,0.26666666666666666,9,7,6,12,3,3,0.6834970284641851
sr_random_relu_pca_qd,1002,RTLLM/Prob024_fsm,0.75,90,28,0.3111111111111111,17,11,13,12,4,4,0.6834970284641851
sr_random_relu_pca_qd,1002,RTLLM/Prob024_fsm,1.0,120,36,0.3,23,13,17,12,5,4,0.6834970284641851
sr_random_relu_pca_qd,1002,RTLLM/Prob037_parallel2serial,0.25,30,15,0.5,9,6,4,14,3,13,0.11000408797318291
sr_random_relu_pca_qd,1002,RTLLM/Prob037_parallel2serial,0.5,60,18,0.3,12,6,7,16,4,2,0.11000408797318291
sr_random_relu_pca_qd,1002,RTLLM/Prob037_parallel2serial,0.75,90,21,0.23333333333333334,15,6,8,16,4,2,0.11000408797318291
sr_random_relu_pca_qd,1002,RTLLM/Prob037_parallel2serial,1.0,120,26,0.21666666666666667,18,8,10,16,4,2,0.11000408797318291
sr_random_relu_pca_qd,1002,RTLLM/Prob041_traffic_light,0.25,30,8,0.26666666666666666,7,1,7,8,2,2,0.4077420721374969
sr_random_relu_pca_qd,1002,RTLLM/Prob041_traffic_light,0.5,60,15,0.25,11,4,11,14,3,4,0.4077420721374969
sr_random_relu_pca_qd,1002,RTLLM/Prob041_traffic_light,0.75,90,30,0.3333333333333333,25,5,25,22,4,4,0.4077420721374969
sr_random_relu_pca_qd,1002,RTLLM/Prob041_traffic_light,1.0,120,45,0.375,37,8,37,26,4,5,0.4077420721374969
sr_random_relu_pca_qd,1002,RTLLM/Prob045_alu,0.25,30,11,0.36666666666666664,11,0,11,11,2,1,0.3854169459228596
sr_random_relu_pca_qd,1002,RTLLM/Prob045_alu,0.5,60,20,0.3333333333333333,20,0,19,14,2,1,0.3890797030028254
sr_random_relu_pca_qd,1002,RTLLM/Prob045_alu,0.75,90,34,0.37777777777777777,33,1,32,16,2,1,0.4217433471318746
sr_random_relu_pca_qd,1002,RTLLM/Prob045_alu,1.0,120,53,0.44166666666666665,52,1,49,18,2,2,0.4217433471318746
sr_random_relu_pca_qd,1002,RTLLM/Prob049_signal_generator,0.25,30,19,0.6333333333333333,6,13,3,16,2,18,0.23477469440256318
sr_random_relu_pca_qd,1002,RTLLM/Prob049_signal_generator,0.5,60,31,0.5166666666666667,16,15,6,19,4,25,0.25984938304829974
sr_random_relu_pca_qd,1002,RTLLM/Prob049_signal_generator,0.75,90,45,0.5,21,24,7,19,4,32,0.25984938304829974
sr_random_relu_pca_qd,1002,RTLLM/Prob049_signal_generator,1.0,120,55,0.4583333333333333,23,32,8,19,4,37,0.25984938304829974
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.25,30,13,0.43333333333333335,1,12,1,9,1,13,-0.0
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.5,60,28,0.4666666666666667,3,25,2,11,2,9,0.01200564971751411
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob098_circuit7,0.75,90,53,0.5888888888888889,5,48,3,11,2,26,0.01200564971751411
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob098_circuit7,1.0,120,75,0.625,7,68,3,11,2,40,0.01200564971751411
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.25,30,12,0.4,6,6,5,9,3,7,0.46535233160621764
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.5,60,20,0.3333333333333333,8,12,7,10,3,8,0.46535233160621764
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,0.75,90,34,0.37777777777777777,10,24,7,11,3,10,0.46535233160621764
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob116_m2014_q3,1.0,120,41,0.3416666666666667,11,30,7,11,3,13,0.46535233160621764
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.25,30,17,0.5666666666666667,4,13,2,17,1,5,0.2636173393124066
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.5,60,35,0.5833333333333334,6,29,3,35,1,11,0.2636173393124066
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,0.75,90,55,0.6111111111111112,10,45,6,39,2,2,0.39769805680119585
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob135_m2014_q6b,1.0,120,75,0.625,10,65,6,39,2,9,0.39769805680119585
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.25,30,16,0.5333333333333333,5,11,1,10,1,7,0.32968627450980387
