method,method_label,problem,candidate_id,generation,is_pareto_front,operator_mix_score,state_control_ratio,sog_complexity_score,sog_entropy,timing_risk_score,control_pipeline_ratio,timing_risk_entropy,operator_timing_cell,state_pipeline_cell,complexity_entropy_cell,code_file_path
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,6bad6c64-4c64-4a31-b489-918e6a10806f,2,false,0.476974,0.333333,153.000000,0.103844,20.400000,3.000000,1.676945,"1,1","0,2","3,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample6_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,787deaf9-3839-40ee-a042-343e5c027fcf,2,false,0.457576,0.142857,170.000000,0.234055,26.850000,7.000000,1.761515,"0,2","0,3","3,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample9_M-E/code.sv
sr_raw_conservative_exploit_qd,Exact T26 QD,Prob002_adder_16bit,eae0a75d-ad55-4d85-b5c9-e312f2700839,3,false,0.464646,1.000000,98.000000,0.000000,20.550000,1.000000,0.978870,"0,2","1,0","0,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/sr_raw_conservative_exploit_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen3/Prob002_adder_16bit_sample4_M-T/code.sv
classic_revolution,Classic,Prob003_adder_32bit,1bd93c97-1af7-4600-947c-8f9faba07941,0,true,0.478873,1.000000,70.000000,0.000000,16.350000,1.000000,1.608700,"1,0","0,0","0,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample1_initial/code.sv
classic_revolution,Classic,Prob003_adder_32bit,963fc15a-262c-4108-b5ce-1523b1a346d9,0,false,0.476293,1.000000,231.000000,0.000000,32.350000,1.000000,0.937293,"1,1","0,0","3,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample5_initial/code.sv
classic_revolution,Classic,Prob003_adder_32bit,54601fe0-2137-4e7f-8682-75ae02078cd9,1,false,0.466867,1.000000,165.000000,0.000000,20.550000,1.000000,0.950338,"0,0","0,0","1,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen1/Prob003_adder_32bit_sample1_M-S/code.sv
classic_revolution,Classic,Prob003_adder_32bit,5c0cb0fe-b071-45bf-9ea1-60878951cf86,1,false,0.472561,1.000000,163.000000,0.000000,53.850000,1.000000,1.665998,"0,2","0,0","1,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen1/Prob003_adder_32bit_sample5_M-I/code.sv
classic_revolution,Classic,Prob003_adder_32bit,be9688d5-1b8a-41e5-9d6e-1d91ce703d49,1,false,0.471503,1.000000,192.000000,0.000000,33.750000,1.000000,1.001980,"0,1","0,0","2,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen1/Prob003_adder_32bit_sample11_M-I/code.sv
classic_revolution,Classic,Prob003_adder_32bit,dd51fab2-bb8f-4888-a551-58f1d4f42b84,1,false,0.481366,1.000000,160.000000,0.000000,84.800000,1.000000,1.360475,"2,3","0,0","0,1",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen1/Prob003_adder_32bit_sample2_M-E/code.sv
classic_revolution,Classic,Prob003_adder_32bit,e7aa4a23-f168-4e0b-8965-b02ef521cf15,1,false,0.496835,1.000000,157.000000,0.000000,12.950000,1.000000,1.453491,"3,0","0,0","0,2",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen1/Prob003_adder_32bit_sample3_M-S/code.sv
classic_revolution,Classic,Prob003_adder_32bit,f1fe0b6f-0294-4c21-8e45-055261919808,1,false,0.496970,1.000000,164.000000,0.000000,101.300000,1.000000,1.792498,"3,3","0,0","1,3",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen1/Prob003_adder_32bit_sample12_M-I/code.sv
classic_revolution,Classic,Prob003_adder_32bit,215406a1-6ea9-42fc-bc74-3f75027d759c,2,false,0.470899,1.000000,188.000000,0.000000,20.550000,1.000000,0.931304,"0,0","0,0","2,0",/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen2/Prob003_adder_32bit_sample8_M-R/code.sv
