seed,problem,generation,pre_selection_fail_pool_size,pre_selection_success_pool_size,post_selection_fail_pool_size,post_selection_success_pool_size,generation_outcome
1002,Prob014_multi_pipe_4bit,2,8,0,8,0,completed
1002,Prob014_multi_pipe_4bit,3,8,0,8,0,completed
1002,Prob014_multi_pipe_4bit,4,8,0,8,0,completed
1002,Prob014_multi_pipe_4bit,5,8,0,8,0,completed
1002,Prob015_multi_pipe_8bit,1,7,1,7,1,completed
1002,Prob015_multi_pipe_8bit,2,7,1,6,2,completed
1002,Prob015_multi_pipe_8bit,3,6,2,3,5,completed
1002,Prob015_multi_pipe_8bit,4,3,5,0,8,completed
1002,Prob015_multi_pipe_8bit,5,0,8,0,8,completed
1002,Prob016_fixed_point_adder,1,8,0,8,0,completed
1002,Prob016_fixed_point_adder,2,8,0,8,0,completed
1002,Prob016_fixed_point_adder,3,8,0,8,0,completed
1002,Prob016_fixed_point_adder,4,8,0,8,0,completed
1002,Prob016_fixed_point_adder,5,8,0,8,0,completed
1002,Prob017_fixed_point_substractor,1,8,0,8,0,completed
1002,Prob017_fixed_point_substractor,2,8,0,8,0,completed
1002,Prob017_fixed_point_substractor,3,8,0,8,0,completed
1002,Prob017_fixed_point_substractor,4,8,0,8,0,completed
1002,Prob017_fixed_point_substractor,5,8,0,8,0,completed
1002,Prob018_float_multi,1,7,1,7,1,completed
1002,Prob018_float_multi,2,7,1,6,2,completed
1002,Prob018_float_multi,3,6,2,5,3,completed
1002,Prob018_float_multi,4,5,3,3,5,completed
1002,Prob018_float_multi,5,3,5,0,8,completed
1002,Prob019_sub_64bit,1,0,8,0,8,completed
1002,Prob019_sub_64bit,2,0,8,0,8,completed
1002,Prob019_sub_64bit,3,0,8,0,8,completed
1002,Prob019_sub_64bit,4,0,8,0,8,completed
1002,Prob019_sub_64bit,5,0,8,0,8,completed
1002,Prob020_JC_counter,1,0,8,0,8,completed
1002,Prob020_JC_counter,2,0,8,0,8,completed
1002,Prob020_JC_counter,3,0,8,0,8,completed
1002,Prob020_JC_counter,4,0,8,0,8,completed
1002,Prob020_JC_counter,5,0,8,0,8,completed
1002,Prob021_counter_12,1,0,8,0,8,completed
1002,Prob021_counter_12,2,0,8,0,8,completed
