seed,problem,metric,classic,treatment,delta,status
1001,Prob017_fixed_point_substractor,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob019_sub_64bit,hypervolume_auc,0.404943260166,0.404944358457,1.0982909999790458e-06,paired
1001,Prob020_JC_counter,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob021_counter_12,hypervolume_auc,0.0,0.000479595689877,0.000479595689877,paired
1001,Prob022_ring_counter,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob023_up_down_counter,hypervolume_auc,0.00213222000931,0.0,-0.00213222000931,paired
1001,Prob024_fsm,hypervolume_auc,0.117447607132,0.127876133876,0.010428526743999994,paired
1001,Prob025_sequence_detector,hypervolume_auc,0.00989519376301,0.0,-0.00989519376301,paired
1001,Prob026_asyn_fifo,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob027_LIFObuffer,hypervolume_auc,0.00533234110232,0.00429115348695,-0.0010411876153699996,paired
1001,Prob028_LFSR,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob029_barrel_shifter,hypervolume_auc,0.0051172413793,0.011940229885,0.0068229885057,paired
1001,Prob030_right_shifter,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob031_freq_div,hypervolume_auc,0.0687403874814,0.076051266766,0.007310879284600003,paired
1001,Prob032_freq_divbyeven,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob033_freq_divbyfrac,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob034_freq_divbyodd,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob035_calendar,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob036_edge_detect,hypervolume_auc,0.0,0.324012809802,0.324012809802,paired
1001,Prob037_parallel2serial,hypervolume_auc,2.06033848418e-05,0.00926988798952,0.0092492846046782,paired
1001,Prob038_pulse_detect,hypervolume_auc,0.00210287013356,0.0,-0.00210287013356,paired
1001,Prob039_serial2parallel,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob041_traffic_light,hypervolume_auc,0.148552668845,0.142412200436,-0.0061404684090000106,paired
1001,Prob042_width_8to16,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob043_RAM,hypervolume_auc,0.0845765519199,0.0893116725922,0.004735120672300003,paired
1001,Prob044_ROM,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob045_alu,hypervolume_auc,0.209536182141,0.203717479992,-0.005818702149000016,paired
1001,Prob046_clkgenerator,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob047_instr_reg,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob048_pe,hypervolume_auc,0.0,0.0,0.0,paired
1001,Prob049_signal_generator,hypervolume_auc,0.00683402432909,0.0138428725364,0.00700884820731,paired
1001,Prob050_square_wave,hypervolume_auc,0.00162283536897,0.00229556983672,0.0006727344677500001,paired
1001,Prob001_accu,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob002_adder_16bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob003_adder_32bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob004_adder_8bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob005_adder_bcd,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob006_adder_pipe_64bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob007_comparator_3bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob008_comparator_4bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob009_div_16bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob010_radix2_div,rtl_simulation_functionality_50,1.0,0.0,-1.0,paired
1001,Prob011_multi_16bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob012_multi_8bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob013_multi_booth_8bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob014_multi_pipe_4bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob015_multi_pipe_8bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob016_fixed_point_adder,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob017_fixed_point_substractor,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob018_float_multi,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob019_sub_64bit,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob020_JC_counter,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob021_counter_12,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob022_ring_counter,rtl_simulation_functionality_50,0.0,0.0,0.0,paired
1001,Prob023_up_down_counter,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
1001,Prob024_fsm,rtl_simulation_functionality_50,1.0,1.0,0.0,paired
