method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
random_descriptor_qd,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,37,4,0.10810810810810811,1,4.0,4,0.0,4,0.2849612403100775,1,16,0.0625,3,1,2,3
random_descriptor_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,41,2,0.04878048780487805,2,1.0,1,0.0,1,0.04155040525406675,1,64,0.015625,2,0,2,1
random_descriptor_qd,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,41,6,0.14634146341463414,2,3.0,4,0.0,4,0.04155040525406675,1,64,0.015625,3,3,2,2
simple_yosys_stat_bd,RTLLM/Prob011_multi_16bit,scalar_cell_elite,26,1,0.038461538461538464,1,1.0,1,0.0,1,0.25355788897531184,1,64,0.015625,1,0,1,1
simple_yosys_stat_bd,RTLLM/Prob011_multi_16bit,bounded_local_pareto,26,4,0.15384615384615385,1,4.0,4,0.0,4,0.25355788897531184,3,64,0.046875,3,1,3,3
simple_yosys_stat_bd,RTLLM/Prob019_sub_64bit,scalar_cell_elite,40,3,0.075,3,1.0,1,0.44512249269108706,1,0.4806618149034077,2,16,0.125,3,0,3,1
simple_yosys_stat_bd,RTLLM/Prob019_sub_64bit,bounded_local_pareto,40,3,0.075,3,1.0,1,0.44512249269108706,1,0.4806618149034077,2,16,0.125,3,0,3,1
simple_yosys_stat_bd,RTLLM/Prob048_pe,scalar_cell_elite,23,1,0.043478260869565216,1,1.0,1,0.0,1,0.011884916798857224,1,64,0.015625,1,0,1,1
simple_yosys_stat_bd,RTLLM/Prob048_pe,bounded_local_pareto,23,4,0.17391304347826086,1,4.0,4,0.0,4,0.011884916798857224,1,64,0.015625,3,1,3,3
simple_yosys_stat_bd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,28,1,0.03571428571428571,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
simple_yosys_stat_bd,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,28,1,0.03571428571428571,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
