benchmark,best_fitness,budget_fraction,candidate_count,corpus,descriptor_family,funnel,mean_fitness,method,model,pareto_member_count,prefix_candidate_count,problem_id,seed,unique_canonical_netlists,unique_motif_signatures,unique_style_clusters
RTLLM,0.21265636497424578,0.5,82,aspdac2026_release,lexical_structural_posthoc,functional,-0.08917245463845365,classic_revolution,deepseek-chat,3,105,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.5,82,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,-0.08917245463845365,classic_revolution,deepseek-chat,3,105,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.5,82,aspdac2026_release,lexical_structural_posthoc,valid_ppa,-0.08917245463845365,classic_revolution,deepseek-chat,3,105,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.5,3,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.21265636497424578,classic_revolution,deepseek-chat,3,105,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,1
RTLLM,0.21265636497424578,0.75,158,aspdac2026_release,lexical_structural_posthoc,generated,-0.08205798875841724,classic_revolution,deepseek-chat,4,158,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,6
RTLLM,0.21265636497424578,0.75,119,aspdac2026_release,lexical_structural_posthoc,functional,-0.08205798875841724,classic_revolution,deepseek-chat,4,158,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.75,119,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,-0.08205798875841724,classic_revolution,deepseek-chat,4,158,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.75,119,aspdac2026_release,lexical_structural_posthoc,valid_ppa,-0.08205798875841724,classic_revolution,deepseek-chat,4,158,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,0.75,4,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.21265636497424578,classic_revolution,deepseek-chat,4,158,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,1
RTLLM,0.21265636497424578,1.0,210,aspdac2026_release,lexical_structural_posthoc,generated,-0.07573595385601366,classic_revolution,deepseek-chat,8,210,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,6
RTLLM,0.21265636497424578,1.0,155,aspdac2026_release,lexical_structural_posthoc,functional,-0.07573595385601366,classic_revolution,deepseek-chat,8,210,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,1.0,155,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,-0.07573595385601366,classic_revolution,deepseek-chat,8,210,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,1.0,155,aspdac2026_release,lexical_structural_posthoc,valid_ppa,-0.07573595385601366,classic_revolution,deepseek-chat,8,210,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,5
RTLLM,0.21265636497424578,1.0,8,aspdac2026_release,lexical_structural_posthoc,pareto_front,0.21265636497424584,classic_revolution,deepseek-chat,8,210,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,0,0,0,1
RTLLM,,0.25,53,aspdac2026_release,lexical_structural_posthoc,generated,,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,1
RTLLM,,0.25,0,aspdac2026_release,lexical_structural_posthoc,functional,,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.25,0,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.25,0,aspdac2026_release,lexical_structural_posthoc,valid_ppa,,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.25,0,aspdac2026_release,lexical_structural_posthoc,pareto_front,,classic_revolution,deepseek-chat,0,53,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.5,105,aspdac2026_release,lexical_structural_posthoc,generated,,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,1
RTLLM,,0.5,0,aspdac2026_release,lexical_structural_posthoc,functional,,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.5,0,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.5,0,aspdac2026_release,lexical_structural_posthoc,valid_ppa,,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.5,0,aspdac2026_release,lexical_structural_posthoc,pareto_front,,classic_revolution,deepseek-chat,0,105,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.75,158,aspdac2026_release,lexical_structural_posthoc,generated,,classic_revolution,deepseek-chat,0,158,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,1
RTLLM,,0.75,0,aspdac2026_release,lexical_structural_posthoc,functional,,classic_revolution,deepseek-chat,0,158,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.75,0,aspdac2026_release,lexical_structural_posthoc,synthesis_valid,,classic_revolution,deepseek-chat,0,158,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.75,0,aspdac2026_release,lexical_structural_posthoc,valid_ppa,,classic_revolution,deepseek-chat,0,158,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,0.75,0,aspdac2026_release,lexical_structural_posthoc,pareto_front,,classic_revolution,deepseek-chat,0,158,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
RTLLM,,1.0,210,aspdac2026_release,lexical_structural_posthoc,generated,,classic_revolution,deepseek-chat,0,210,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,1
RTLLM,,1.0,0,aspdac2026_release,lexical_structural_posthoc,functional,,classic_revolution,deepseek-chat,0,210,aspdac2026/deepseek_clean_results/RTLLM/Prob006_adder_pipe_64bit,0,0,0,0
