budget_fraction,corpus,descriptor_family,funnel,mean_best_fitness,mean_candidate_count,mean_canonical_netlists,mean_motif_signatures,mean_pareto_members,mean_style_clusters,method,problem_group_count,total_candidate_count
0.5,auto_bd_standard_results,classic_revolution,synthesis_valid,0.2475955196547727,23.307692307692307,11.307692307692308,8.051282051282051,23.307692307692307,1.0,classic_revolution,39,909
0.5,auto_bd_standard_results,classic_revolution,valid_ppa,0.2475955196547727,23.307692307692307,11.307692307692308,8.051282051282051,23.307692307692307,1.0,classic_revolution,39,909
0.75,auto_bd_standard_results,classic_revolution,functional,0.27222471926331177,39.84615384615385,18.487179487179485,13.461538461538462,39.84615384615385,1.0,classic_revolution,39,1554
0.75,auto_bd_standard_results,classic_revolution,generated,0.27222471926331177,90.0,18.487179487179485,13.461538461538462,39.84615384615385,1.0,classic_revolution,39,3510
0.75,auto_bd_standard_results,classic_revolution,pareto_front,0.27222471926331177,39.84615384615385,18.487179487179485,13.461538461538462,39.84615384615385,1.0,classic_revolution,39,1554
0.75,auto_bd_standard_results,classic_revolution,synthesis_valid,0.27222471926331177,39.84615384615385,18.487179487179485,13.461538461538462,39.84615384615385,1.0,classic_revolution,39,1554
0.75,auto_bd_standard_results,classic_revolution,valid_ppa,0.27222471926331177,39.84615384615385,18.487179487179485,13.461538461538462,39.84615384615385,1.0,classic_revolution,39,1554
1.0,auto_bd_standard_results,classic_revolution,functional,0.27755805182738824,56.53846153846154,24.897435897435898,18.41025641025641,56.53846153846154,1.0,classic_revolution,39,2205
1.0,auto_bd_standard_results,classic_revolution,generated,0.27755805182738824,120.0,24.897435897435898,18.41025641025641,56.53846153846154,1.0,classic_revolution,39,4680
1.0,auto_bd_standard_results,classic_revolution,pareto_front,0.27755805182738824,56.53846153846154,24.897435897435898,18.41025641025641,56.53846153846154,1.0,classic_revolution,39,2205
1.0,auto_bd_standard_results,classic_revolution,synthesis_valid,0.27755805182738824,56.53846153846154,24.897435897435898,18.41025641025641,56.53846153846154,1.0,classic_revolution,39,2205
1.0,auto_bd_standard_results,classic_revolution,valid_ppa,0.27755805182738824,56.53846153846154,24.897435897435898,18.41025641025641,56.53846153846154,1.0,classic_revolution,39,2205
0.25,auto_bd_standard_results,landing_smooth_qd_manual_bd,functional,0.22247484403739462,10.846153846153847,5.769230769230769,4.384615384615385,10.846153846153847,1.0,landing_smooth_qd_manual_bd,39,423
