seed,method,method_label,benchmark,problem,total_generated,syntax_count,functionality_count,valid_ppa_count,syntax_rate,functionality_rate,valid_ppa_rate,best_score,global_ppa_hypervolume,hv_auc,ppa_front_points,reference_beating_count,unique_ppa_points,duplicate_ppa_point_count,front_nn_distance,front_bbox_volume,active_archive_coverage,active_archive_qd_score,active_archive_members,active_global_pareto_members,active_qd_score_auc,active_coverage_auc,qd_two_parent_gate,success_parent_requests,two_parent_attempts,two_parent_fallbacks,two_parent_gate_attempts,two_parent_gate_accepts,two_parent_gate_rejects
1002,t26_gated_near_front_fusion_qd,T48 gated QD,RTLLM,Prob049_signal_generator,48,46,27,21,0.958333,0.562500,0.437500,0.259849,0.014622,0.008781,2,2,6,0,0.513607,0.018690,0.375000,0.546368,6,2,0.368690,0.270833,near_front_descriptor,33,2,1,1,1,0
1002,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,48,34,34,1.000000,0.708333,0.708333,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob098_circuit7,48,46,33,29,0.958333,0.687500,0.604167,0.012006,0.000000,0.000000,1,1,2,0,0.000000,0.000000,0.250000,0.012006,2,1,0.010005,0.208333,near_front_descriptor,30,3,3,2,0,2
1002,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,25,25,1.000000,0.520833,0.520833,0.464404,0.397285,0.397264,1,5,5,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,48,48,22,19,1.000000,0.458333,0.395833,0.465352,0.398423,0.398423,1,6,6,0,0.000000,0.000000,0.031250,0.862261,6,1,0.718551,0.026042,near_front_descriptor,12,1,1,0,0,0
1002,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,47,33,33,0.979167,0.687500,0.687500,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,48,48,41,37,1.000000,0.854167,0.770833,0.263617,0.000000,0.000000,1,0,3,0,0.000000,0.000000,1.000000,0.263617,3,1,0.032952,0.125000,near_front_descriptor,28,3,3,0,0,0
1002,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,48,42,24,24,0.875000,0.500000,0.500000,0.329686,0.000000,0.000000,1,2,3,0,0.000000,0.000000,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,48,44,30,25,0.916667,0.625000,0.520833,0.329686,0.000000,0.000000,1,2,2,0,0.000000,0.000000,1.000000,0.659373,4,1,0.082422,0.125000,near_front_descriptor,20,2,2,0,0,0
1002,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,48,47,4,4,0.979167,0.083333,0.083333,-0.125914,0.000000,0.000000,3,0,4,0,0.278110,0.007084,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,48,48,17,7,1.000000,0.354167,0.145833,,0.000000,0.000000,3,0,4,0,0.198085,0.000652,0.000000,0.000000,0,3,0.000000,0.000000,near_front_descriptor,18,0,0,0,0,0
1002,classic_revolution,Classic,VerilogEval-Spec-to-RTL,Prob153_gshare,48,48,13,13,1.000000,0.270833,0.270833,0.130922,0.000722,0.000120,5,1,11,0,0.091746,0.005246,,,,,,,,,,,,,
1002,t26_gated_near_front_fusion_qd,T48 gated QD,VerilogEval-Spec-to-RTL,Prob153_gshare,48,45,15,10,0.937500,0.312500,0.208333,0.144411,0.001458,0.001141,4,4,7,0,0.032319,0.000065,0.093750,0.258851,7,4,0.129425,0.046875,near_front_descriptor,15,1,0,1,1,0
