problem_id,early_candidate_count,early_valid_ppa_count,early_valid_ppa_rate,early_style_cluster_count,early_motif_count,early_mean_lexical_distance,final_valid_ppa_count,final_best_fitness,final_hypervolume,final_front_style_cluster_count
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob038_count15,20,17,0.85,1,1,3.134023378215878,165,0.04093708165997321,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob039_always_if,20,12,0.6,3,1,4.221206708134659,138,0.49469298245614035,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob040_count10,20,18,0.9,1,1,3.6546377554917635,182,0.07361455748552524,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob041_dff8r,20,17,0.85,1,1,3.339140357089848,157,0.4980696798493409,0.0035682426404995463,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob042_vector4,20,19,0.95,3,1,3.134476537849585,194,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob043_vector5,20,14,0.7,2,1,3.288145235965695,152,-0.0,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob044_vectorgates,20,19,0.95,2,1,2.5229446338247823,203,0.4943992248062015,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob045_edgedetect2,20,5,0.25,1,1,3.175845897079429,91,-0.0,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob046_dff8p,20,17,0.85,1,1,2.8843708158498886,188,0.431039213229767,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob047_dff8ar,20,17,0.85,1,1,3.0230563675114617,184,0.4988501326259947,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob048_m2014_q4c,20,20,1.0,2,1,3.5734337863460226,187,0.49839669421487603,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob049_m2014_q4b,20,14,0.7,1,1,2.1826488586850967,121,-0.0,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob050_kmap1,20,20,1.0,2,1,2.2798272158537314,200,-0.0,0.0,5
