problem,backend,candidate,source_aig_variables,source_aig_ands,output_index,cone_variables,cone_inputs,cone_ands,embedded_nodes,embedded_edges,embedding_seconds,cone_path
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample4_single_thought_operator,6213,5585,8,8,4,4,13,13,0.010814,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_026_cone_00.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample4_single_thought_operator,6213,5585,9,8,4,4,13,13,0.010289,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_026_cone_01.aag
Prob153_gshare,masterrtl_structural_mix_8x5,Prob153_gshare_sample4_single_thought_operator,6213,5585,10,8,4,4,13,13,0.010272,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_026_cone_02.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample1_initial,1072,981,20,6,3,3,10,10,0.008392,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_027_cone_00.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample1_initial,1072,981,17,8,4,4,13,13,0.010284,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_027_cone_01.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample1_initial,1072,981,18,8,4,4,13,13,0.010250,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_027_cone_02.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample2_single_thought_operator,1069,978,86,6,3,3,10,10,0.008318,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_028_cone_00.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample2_single_thought_operator,1069,978,17,8,4,4,13,13,0.010271,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_028_cone_01.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample2_single_thought_operator,1069,978,18,8,4,4,13,13,0.010249,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_028_cone_02.aag
Prob015_multi_pipe_8bit,qwen_canonical_rtl_pca3_8x5,Prob015_multi_pipe_8bit_sample6_single_thought_operator,1066,975,82,6,3,3,10,10,0.008289,exp/useful_bd_push/deepgate_cone_bridge_probe_20260626_UTC/cones/row_029_cone_00.aag
